Propriedade,Tags,Responsável,Projeto,Status,Prioridade,Prazo,Agrupando Por :,Tarefa principal,Descrição
Aplicativo Lote,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Margem de Lucro (Tarefas%2035631d51a2bd48b992678042ebb44814/Margem%20de%20Lucro%20c51a8e0609aa48a6b34d8642de2facb3.csv), Taxa de Ruptura de Estoque  (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Ruptura%20de%20Estoque%205a4db9fafa8d4850b1b2cf0f9742dc61.csv), Volume de Vendas (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Vendas%20af3dcf23a71b4c4b941772fb956417e7.csv), Tempo Médio para Reabastecimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20para%20Reabastecimento%20d4c7023bb54745d2ba7ee93440632d05.csv), Valor Total de Produtos Expirados (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Produtos%20Expirados%209772f9e46b9d4579a77d43efdd740279.csv), Tempo Médio de Rotação (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Rotac%CC%A7a%CC%83o%204e46e76a0bc34a219ae8bc910820031a.csv), Taxa de Utilização de Capacidade (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Utilizac%CC%A7a%CC%83o%20de%20Capacidade%2013fd81c18ec74cb5b399e2babb4e82c2.csv), Tempo Médio de Vida Útil Restante (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Vida%20U%CC%81til%20Restante%2023d02b0d9a444200b888f891c1fcf23e.csv), Eficiência de Rotação de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Eficie%CC%82ncia%20de%20Rotac%CC%A7a%CC%83o%20de%20Estoque%20f96cc45f58af4dda86c31d44ab7cde86.csv), Taxa de Lotes com Alterações (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Lotes%20com%20Alterac%CC%A7o%CC%83es%20bfebdc0c54c04660807d73b106674362.csv), Valor Total de Desconto  (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Desconto%20d38fdf11d7d04700884d4dcf31a1460b.csv), Valor Total de Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Acre%CC%81scimo%200be3c39e443d4cb1bc365c9ad5a17024.csv), Taxa de Rastreabilidade (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Rastreabilidade%20cec5f8a74cb443149804025f392b5935.csv), Valor Total (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%203a0651271d4c4fe2a4745a391585d5cd.csv)",Módulo Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Estoque%2057c521e5356048fd955bdddfeedec937.csv),
Aplicativo Grade,"Acréscimo, Desconto",,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Taxa de Rotatividade de Itens (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Rotatividade%20de%20Itens%206f39f0d992094fd9ac435693845250b7.csv), Taxa de Ruptura de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Ruptura%20de%20Estoque%20c7b0a03eb8cf418097b71e3691032043.csv), Tempo Médio para Reabastecimento  (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20para%20Reabastecimento%2015ab60c81f1247edb19d59f5999cfa39.csv), Margem de Lucro  (Tarefas%2035631d51a2bd48b992678042ebb44814/Margem%20de%20Lucro%20147fe81c1e6340a28889829ff3398d40.csv), Volume de Venda  (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Venda%209d33d25982c848a79a9a58f8e77ddc25.csv), Estoque Máximo (Tarefas%2035631d51a2bd48b992678042ebb44814/Estoque%20Ma%CC%81ximo%20db0b95b7832845e7ac37834b0d85f6f1.csv), Estoque Mínimo  (Tarefas%2035631d51a2bd48b992678042ebb44814/Estoque%20Mi%CC%81nimo%201ccc4123b4af4c9c9a0cd4057e699249.csv), Total de Perdas  (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Perdas%20cb19cd80748c429ab31b16c6280488de.csv), Custo Médio (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Me%CC%81dio%208118bb13a29749deadfe51391089d4db.csv), Valor Total  (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%204aa366ab8c7f445a8e06d56a2c09533f.csv), Lucro Total (Tarefas%2035631d51a2bd48b992678042ebb44814/Lucro%20Total%20797152bc2b5c457abfe9abea074e9ebb.csv), Valor Total de Desconto (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Desconto%203ad0f3c56fd144eba4e07acd73d52491.csv), Valor Total de Acréscimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Acre%CC%81scimo%200f926ef9db184f5889af2a3f8c2629bb.csv)",Módulo Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Estoque%2057c521e5356048fd955bdddfeedec937.csv),
Aplicativo Fluxo de Produto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Tempo de Ciclo do Produto (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20de%20Ciclo%20do%20Produto%20c117f59b59e843019f3d435bcceda20c.csv), Taxa de Alteração da Equipe Padrão (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Alterac%CC%A7a%CC%83o%20da%20Equipe%20Padra%CC%83o%2052e9c82009d84e7e84e5dced3506e0b8.csv), Taxa de Pré-Requisitos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Pre%CC%81-Requisitos%20f1e46a48810e42e095d36c5b7d44fd3c.csv), Baixa Automática Ativa (Tarefas%2035631d51a2bd48b992678042ebb44814/Baixa%20Automa%CC%81tica%20Ativa%202a5c2e0fd193472493605875d0739b36.csv), Média de Etapas (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Etapas%201945765e05174cba95aa70fd467fd35e.csv), Média de Tempo de Espera (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Tempo%20de%20Espera%20a2e6263236334bc0a8334457a4e7990e.csv)",Módulo Produção (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Produc%CC%A7a%CC%83o%209c742a8e253f45c0baa028ea30ec8d74.csv),
Aplicativo Projeto,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Taxa de Projetos Concluídos fora Prazo (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Projetos%20Conclui%CC%81dos%20fora%20Prazo%20afb1c471a7cb423b919723bfd9dc21e5.csv), Taxa de Problemas/Incidentes (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Problemas%20Incidentes%203baebb114bc640c88283abb39d0f94fb.csv), Custo Médio por Tarefa (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Me%CC%81dio%20por%20Tarefa%20e321e069f3c54f2586d89fe1bd39e50d.csv), Ordens de Serviço Vinculadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Ordens%20de%20Servic%CC%A7o%20Vinculadas%20bb3f8aafb3064c03bb007375f4d8c1cf.csv), Valor Total de Projetos Cancelados (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Projetos%20Cancelados%2077b84c7c39904601974467ded970fdbd.csv), Valor Total de Divergências de Custo  (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Diverge%CC%82ncias%20de%20Custo%20dc0c469d835c42ab8cc5aff2b60e0eff.csv), Valor Total de Projetos (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Projetos%20ad4b0df6792a463d838fd7e6fd68ce89.csv), Duração Média de Projetos (Tarefas%2035631d51a2bd48b992678042ebb44814/Durac%CC%A7a%CC%83o%20Me%CC%81dia%20de%20Projetos%208a60b1120c164e14ba7be59a4ad70655.csv)",Módulo Produção (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Produc%CC%A7a%CC%83o%209c742a8e253f45c0baa028ea30ec8d74.csv),
Aplicativo Planejamento,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Taxa de Alteração do Escopo (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Alterac%CC%A7a%CC%83o%20do%20Escopo%201c48171703674c0f8b2f322e323b470c.csv), Taxa de Cancelamentos (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Cancelamentos%206bbcfb4a9dd84f4bafad4eec3515a1d4.csv), Taxa de Metas Alcançadas (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Metas%20Alcanc%CC%A7adas%202fe4aa3c62454fe7b6825d4c3192dc8f.csv), Taxa de Riscos Identificados (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Riscos%20Identificados%20e8e10c58420b4506a12c31de74e2eda9.csv), Custo Médio do Processo de Planejamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Me%CC%81dio%20do%20Processo%20de%20Planejamento%20177b67033bdf4b379821e4f599a9ac37.csv), Taxa de eficiência do Processo de Planejamento (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20eficie%CC%82ncia%20do%20Processo%20de%20Planejamento%2077545e26d74a4ae0be2b7ecf2050cb73.csv)",Módulo Produção (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Produc%CC%A7a%CC%83o%209c742a8e253f45c0baa028ea30ec8d74.csv),
Aplicativo Fabricação (Composição),"Acréscimo, Desconto, Rendimento",,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Média de Custo de Produção (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Custo%20de%20Produc%CC%A7a%CC%83o%20a935d632e64b4b1c9014ad6dd1bea7f1.csv), Diferença de Valor (Tarefas%2035631d51a2bd48b992678042ebb44814/Diferenc%CC%A7a%20de%20Valor%20dbadb02bb3da40448d85abb33d338b02.csv), Composições Sem Fórmula (Tarefas%2035631d51a2bd48b992678042ebb44814/Composic%CC%A7o%CC%83es%20Sem%20Fo%CC%81rmula%20ffc0fdd373e346728d71a830797dd323.csv), Taxa de Utilização de Máteria-Prima (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Utilizac%CC%A7a%CC%83o%20de%20Ma%CC%81teria-Prima%20ff6f31be69584db28e0a66d671e54a87.csv), Taxa de Rendimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Rendimento%207f60c503f72b4afc8908b5440fcd7409.csv), Margem de Lucro (Tarefas%2035631d51a2bd48b992678042ebb44814/Margem%20de%20Lucro%20833455d145894dc183ac9bf6ad56babe.csv), Retorna Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Retorna%20Estoque%208749a720a8dc419698aea1575ff1f579.csv)",Módulo Produção (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Produc%CC%A7a%CC%83o%209c742a8e253f45c0baa028ea30ec8d74.csv),
Aplicativo Estoque,"Acúmulo, Perda, Saldo, Sem Rotatividade",,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Giro de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Giro%20de%20Estoque%20f4d5478769d94fddaa01ddec98f0312a.csv), Dias de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Dias%20de%20Estoque%20c0c638f41bed4b9dafd316f5b79ea773.csv), Custo de Carregamento de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20de%20Carregamento%20de%20Estoque%20b363557b44094444a3a8d42eb729faca.csv), Valor Total do Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20do%20Estoque%20f41abe2f24e84d4fb63bbff60015d583.csv), Nível de Serviço de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Ni%CC%81vel%20de%20Servic%CC%A7o%20de%20Estoque%202708e016321547d7968302ee5b5a526b.csv), Taxa de Falta de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Falta%20de%20Estoque%206f277110fde54fbbb43fadbe9faa90c1.csv), Tempo de Reposição (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20de%20Reposic%CC%A7a%CC%83o%20438aaf1474ce48d5af6ef9af0a063c72.csv), Taxa de Produtos Acima do Estoque Máximo (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Produtos%20Acima%20do%20Estoque%20Ma%CC%81ximo%20d00c6443f89e4156a40a17714688924b.csv), Taxa de Produtos Abaixo do Estoque Mínimo (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Produtos%20Abaixo%20do%20Estoque%20Mi%CC%81nimo%20daa10f8046c5453eb8821a8d832e0304.csv), Valor Total  de Perdas (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Perdas%2015f245125a714aeba2043d15f46aa2ad.csv), Valor Total Excedente de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20Excedente%20de%20Estoque%20fafb882071cb4f0a976df1e0fc5f0ecf.csv), Volume Total de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20Total%20de%20Estoque%20f14f1dd54fd849269ba6c2def4f2e234.csv)",Módulo Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Estoque%2057c521e5356048fd955bdddfeedec937.csv),
Aplicativo Balanço de Estoque,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Tempo Total de Balanço (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Total%20de%20Balanc%CC%A7o%203d62931226e04d96820305d0989b134f.csv), Frequência de Balanços (Tarefas%2035631d51a2bd48b992678042ebb44814/Freque%CC%82ncia%20de%20Balanc%CC%A7os%205687b8dfedf9444994f6023559cdff1b.csv), Valor Total do Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20do%20Estoque%2034f3b86dedf24150ae1b8383dfe3cfe2.csv), Taxa de Atualizações de Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Atualizac%CC%A7o%CC%83es%20de%20Estoque%20b1f528ca005448eab81502bfc46fa081.csv), Balanços com Estoques Negativos (Tarefas%2035631d51a2bd48b992678042ebb44814/Balanc%CC%A7os%20com%20Estoques%20Negativos%2088c493d44af14e94ac77d8be0f564ef2.csv), Valor Total de Divergências (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Diverge%CC%82ncias%200952f076ab1c41508e47a9b050eeab71.csv), Custo Total do Balanço de Estoque  (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20Total%20do%20Balanc%CC%A7o%20de%20Estoque%20ed411d6998af4c7e8f00a501f0703248.csv)",Módulo Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Estoque%2057c521e5356048fd955bdddfeedec937.csv),
Aplicativo Código de Barras,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Tempo Médio de Impressão (Tarefas%2035631d51a2bd48b992678042ebb44814/Tempo%20Me%CC%81dio%20de%20Impressa%CC%83o%2041bc4056188f48ccb7ec51ba5d0391df.csv), Média de Produtos por impressão (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Produtos%20por%20impressa%CC%83o%207d405251bfe0424fbf82330d20518d26.csv), Média de Etiquetas por impressão (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Etiquetas%20por%20impressa%CC%83o%202f8454b722a644d2b8351c14b22c2d21.csv), Impressões sem código cadastrado (Tarefas%2035631d51a2bd48b992678042ebb44814/Impresso%CC%83es%20sem%20co%CC%81digo%20cadastrado%20dd0d1175b3844c8cae0cb9acda73bf9d.csv)",Módulo Estoque (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Estoque%2057c521e5356048fd955bdddfeedec937.csv),
Aplicativo Caixa,"Desconto, Juros, Pago, Recebido",,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Saldo do Caixa  (Tarefas%2035631d51a2bd48b992678042ebb44814/Saldo%20do%20Caixa%2054a9c8e1cae240288a4374b1723c8d98.csv), Variação do Saldo de Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Variac%CC%A7a%CC%83o%20do%20Saldo%20de%20Caixa%2002a7fab7acdf420d8de7871537393de7.csv), Dias de Caixa Disponível (Tarefas%2035631d51a2bd48b992678042ebb44814/Dias%20de%20Caixa%20Disponi%CC%81vel%20ed6250a48ade4e1e9362819212f299e5.csv), Índice de Liquidez Imediata (Tarefas%2035631d51a2bd48b992678042ebb44814/I%CC%81ndice%20de%20Liquidez%20Imediata%206b3c210ec14343bcb34816ccb1360fa6.csv), Razão de Cobertura de Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Raza%CC%83o%20de%20Cobertura%20de%20Caixa%20af7696f42dff455b9065398567ae510c.csv), Fluxo de Caixa Livre (Tarefas%2035631d51a2bd48b992678042ebb44814/Fluxo%20de%20Caixa%20Livre%203404ade5478c44a9a97d141b8d22b6f2.csv), Valor de Desconto Obtido (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20de%20Desconto%20Obtido%20c36f568e964440bb8b937cc6f3256dd1.csv), Valor de Desconto Concedido (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20de%20Desconto%20Concedido%20044fbc6076bd4a3098b8067d1ccf293d.csv), Valor de Juros Pagos (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20de%20Juros%20Pagos%20c2ec26d5b02c4215a7969978122b1312.csv), Valor de Juros Recebidos (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20de%20Juros%20Recebidos%200661aeca80f64daebafa366d155a1485.csv), Valor das Exclusões (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20das%20Excluso%CC%83es%2063b542192f7d4cd2b2106c320dc008f0.csv), Sangrias do Período (Tarefas%2035631d51a2bd48b992678042ebb44814/Sangrias%20do%20Peri%CC%81odo%20b265b8c647be4687bc361e2543e5f945.csv), Pagamentos Realizados (Tarefas%2035631d51a2bd48b992678042ebb44814/Pagamentos%20Realizados%2079b6f6d01a08454e90ad68df4fb75d96.csv), Recebimentos Realizados (Tarefas%2035631d51a2bd48b992678042ebb44814/Recebimentos%20Realizados%209b2ffa4b04c54a10a2fbacbdd530b157.csv), Fluxo de Caixa (Tarefas%2035631d51a2bd48b992678042ebb44814/Fluxo%20de%20Caixa%20261ef6bbd3854b968c36f91cacbc40b9.csv), Volume de Transações (Tarefas%2035631d51a2bd48b992678042ebb44814/Volume%20de%20Transac%CC%A7o%CC%83es%20532c8352d168432480f8357f3e01b4c8.csv), Alteração do Valor Inicial (Tarefas%2035631d51a2bd48b992678042ebb44814/Alterac%CC%A7a%CC%83o%20do%20Valor%20Inicial%2030139c5787514965b3b901f104362bff.csv), Total de Transferências (Tarefas%2035631d51a2bd48b992678042ebb44814/Total%20de%20Transfere%CC%82ncias%201ed26c7fec92474d969dfadf8dd7899a.csv), Lançamentos de Terceiros (Tarefas%2035631d51a2bd48b992678042ebb44814/Lanc%CC%A7amentos%20de%20Terceiros%2057d0b0bf2da5435faff166663ab17ef8.csv)",Módulo Financeiro (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Financeiro%20a7b0834a22f94dcfb57a061fa16fa05b.csv),
Aplicativo Contratos,"Acréscimo, Desconto, Faturamento, Multas, Taxa Juros",,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Geração de Mensalidades Pendentes (Tarefas%2035631d51a2bd48b992678042ebb44814/Gerac%CC%A7a%CC%83o%20de%20Mensalidades%20Pendentes%20406e32d329214f09925b8479cc19200f.csv), Valor Total de Juros (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Juros%2020bf881fa7a24cfda395999bfd22aeaf.csv), Valor Total de Descontos  (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Descontos%201fd8fd99071b4ccab2c066daf5054678.csv), Valor Total de Multa (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Multa%20aad7d1abfb4d4b35a7d7eb3dd73e9890.csv), Renovados (Tarefas%2035631d51a2bd48b992678042ebb44814/Renovados%2081cd175659e840d9be006082eade9a0f.csv), Valor Total de Contratos (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Total%20de%20Contratos%203e6992cc49954f49b657ed66d33924e2.csv), Média de Contratos (Tarefas%2035631d51a2bd48b992678042ebb44814/Me%CC%81dia%20de%20Contratos%203a718eb274bc4216a5f350e74ebd80d7.csv), Vencidos (Tarefas%2035631d51a2bd48b992678042ebb44814/Vencidos%2043eae35462a24e478729e04cd7e6983b.csv), Cancelados (Tarefas%2035631d51a2bd48b992678042ebb44814/Cancelados%2012fba15d640d49ebb3dcc2e98ebc4394.csv), Valor Médio de Mensalidade (Tarefas%2035631d51a2bd48b992678042ebb44814/Valor%20Me%CC%81dio%20de%20Mensalidade%20a2e5bcf6b49e4f2da45cbd5a152f9640.csv), Taxa de Adesão (Tarefas%2035631d51a2bd48b992678042ebb44814/Taxa%20de%20Adesa%CC%83o%208bae3395de1c40b6bf5d16e7a2c465d5.csv), Receita (Tarefas%2035631d51a2bd48b992678042ebb44814/Receita%2039dabf9c72814e37aa8d0c143f50e502.csv), Emissão de Notas Fiscais Pendentes (Tarefas%2035631d51a2bd48b992678042ebb44814/Emissa%CC%83o%20de%20Notas%20Fiscais%20Pendentes%201153a9894a1c4e17bf4cb01f5bae4cf4.csv), Emissão de Boletos Pendentes (Tarefas%2035631d51a2bd48b992678042ebb44814/Emissa%CC%83o%20de%20Boletos%20Pendentes%2024177108b85445559125eb62449a7a24.csv), Mensalidades Pendentes de Envio (Tarefas%2035631d51a2bd48b992678042ebb44814/Mensalidades%20Pendentes%20de%20Envio%20a442946d4f5d423888c2763afb739e84.csv), Percentual de Reajuste (Tarefas%2035631d51a2bd48b992678042ebb44814/Percentual%20de%20Reajuste%204e635c7203f5404a8945b53a8fddfcd8.csv), Próximos do Vencimento (Tarefas%2035631d51a2bd48b992678042ebb44814/Pro%CC%81ximos%20do%20Vencimento%203c9dffedbf514d72aa99d3861f32117d.csv)",Módulo Financeiro (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Financeiro%20a7b0834a22f94dcfb57a061fa16fa05b.csv),
DRE,,,KPI’s (https://www.notion.so/KPI-s-d82325c7c49b48189ca757318627d788?pvs=21),Não iniciado,,,"Correções (Tarefas%2035631d51a2bd48b992678042ebb44814/Correc%CC%A7o%CC%83es%20e3ded6ab671947e8907d822a323f564e.csv), Ebitda (Tarefas%2035631d51a2bd48b992678042ebb44814/Ebitda%20d99caeedb42242b7b23988f68e62bcd1.csv), Despesas (Tarefas%2035631d51a2bd48b992678042ebb44814/Despesas%206697afe574714709a1c012550a727a81.csv), Receitas (Tarefas%2035631d51a2bd48b992678042ebb44814/Receitas%2079f923ea67364521a37d9b2dfbdc0b71.csv), Lucro Líquido (Tarefas%2035631d51a2bd48b992678042ebb44814/Lucro%20Li%CC%81quido%20b5a43102b765437780dc6f9130fc4437.csv), Margem Bruta (Tarefas%2035631d51a2bd48b992678042ebb44814/Margem%20Bruta%2016f7d776aff54d288c5630a0b1837a7c.csv), Margem Líquida (Tarefas%2035631d51a2bd48b992678042ebb44814/Margem%20Li%CC%81quida%2048e49bc4969346a8aa9c9e0f9bb103d8.csv), Crescimento da Receita (Tarefas%2035631d51a2bd48b992678042ebb44814/Crescimento%20da%20Receita%20632d0caeac534d41be6f7ecb234f21cb.csv), Custo dos Produtos Vendidos - CPV (Tarefas%2035631d51a2bd48b992678042ebb44814/Custo%20dos%20Produtos%20Vendidos%20-%20CPV%209abd6d4661624bc5adaca7a65214848e.csv), Despesas Operacionais (Tarefas%2035631d51a2bd48b992678042ebb44814/Despesas%20Operacionais%2026b9dbc6530d45ba9a634aa064d0c543.csv), Margem Operacional (Tarefas%2035631d51a2bd48b992678042ebb44814/Margem%20Operacional%20f8edaec9ff8f49b3a6bb97ac0224a165.csv), Índice de Cobertura de Juros (Tarefas%2035631d51a2bd48b992678042ebb44814/I%CC%81ndice%20de%20Cobertura%20de%20Juros%205e53f94157b24f7ab2cb86621b70a68b.csv), Liquidez Corrente (Tarefas%2035631d51a2bd48b992678042ebb44814/Liquidez%20Corrente%208e7a4b42b7894669a90439cfe48d0424.csv), Saldo Negativo (Tarefas%2035631d51a2bd48b992678042ebb44814/Saldo%20Negativo%204b733a1a8bcd48e7a3ddaddaeff5ed1b.csv), Plano de Contas Sem Classificação (Tarefas%2035631d51a2bd48b992678042ebb44814/Plano%20de%20Contas%20Sem%20Classificac%CC%A7a%CC%83o%20ad52e7ff626543fe9d1ff71e57b9a5e4.csv), Plano de Contas Ausente (Tarefas%2035631d51a2bd48b992678042ebb44814/Plano%20de%20Contas%20Ausente%206809132dbd6d454686fc28e777998e21.csv), Valores Não Alocados em Centros de Custo (Tarefas%2035631d51a2bd48b992678042ebb44814/Valores%20Na%CC%83o%20Alocados%20em%20Centros%20de%20Custo%20ee8af0a18868412187ebe8944425b743.csv), Custos Diretos e Indiretos (Tarefas%2035631d51a2bd48b992678042ebb44814/Custos%20Diretos%20e%20Indiretos%2083b5caf68cec44a7b33ec4ee31525d26.csv)",Módulo Financeiro (Tarefas%2035631d51a2bd48b992678042ebb44814/Mo%CC%81dulo%20Financeiro%20a7b0834a22f94dcfb57a061fa16fa05b.csv),
